I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcublas.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcufft.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcurand.so.8.0 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: GeForce GTX 1080
major: 6 minor: 1 memoryClockRate (GHz) 1.7335
pciBusID 0000:82:00.0
Total memory: 7.92GiB
Free memory: 6.64GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080, pci bus id: 0000:82:00.0)
batch_size:64, num_classes:1001
Tensor("tower_0/concat:0", shape=(64, 2), dtype=int32, device=/device:GPU:2)
2017-03-29 02:32:27.429531: step 0, loss = 7.51 (1.3 examples/sec; 50.328 sec/batch)
2017-03-29 02:32:59.135256: step 10, loss = 7.58 (127.0 examples/sec; 0.504 sec/batch)
2017-03-29 02:33:05.854423: step 20, loss = 7.53 (135.6 examples/sec; 0.472 sec/batch)
2017-03-29 02:33:12.173483: step 30, loss = 7.50 (34.4 examples/sec; 1.862 sec/batch)
2017-03-29 02:33:25.096733: step 40, loss = 7.50 (28.6 examples/sec; 2.237 sec/batch)
2017-03-29 02:33:33.388120: step 50, loss = 7.52 (150.9 examples/sec; 0.424 sec/batch)
2017-03-29 02:33:38.353111: step 60, loss = 7.49 (144.0 examples/sec; 0.445 sec/batch)
2017-03-29 02:33:45.265086: step 70, loss = 7.46 (134.2 examples/sec; 0.477 sec/batch)
2017-03-29 02:33:56.147090: step 80, loss = 7.50 (133.5 examples/sec; 0.479 sec/batch)
2017-03-29 02:34:01.518132: step 90, loss = 7.47 (153.9 examples/sec; 0.416 sec/batch)
2017-03-29 02:34:06.910743: step 100, loss = 7.49 (153.2 examples/sec; 0.418 sec/batch)
2017-03-29 02:34:15.420473: step 110, loss = 7.52 (104.2 examples/sec; 0.614 sec/batch)
2017-03-29 02:34:22.941204: step 120, loss = 7.46 (63.6 examples/sec; 1.006 sec/batch)
2017-03-29 02:34:30.563682: step 130, loss = 7.48 (150.1 examples/sec; 0.426 sec/batch)
2017-03-29 02:34:37.818410: step 140, loss = 7.49 (48.0 examples/sec; 1.334 sec/batch)
2017-03-29 02:34:45.344176: step 150, loss = 7.48 (42.6 examples/sec; 1.501 sec/batch)
2017-03-29 02:34:49.687457: step 160, loss = 7.47 (142.2 examples/sec; 0.450 sec/batch)
2017-03-29 02:34:55.052712: step 170, loss = 7.51 (53.7 examples/sec; 1.191 sec/batch)
2017-03-29 02:35:02.329343: step 180, loss = 7.50 (36.0 examples/sec; 1.778 sec/batch)
2017-03-29 02:35:09.617103: step 190, loss = 7.47 (40.1 examples/sec; 1.594 sec/batch)
2017-03-29 02:35:18.832093: step 200, loss = 7.50 (123.2 examples/sec; 0.519 sec/batch)
2017-03-29 02:35:27.986330: step 210, loss = 7.56 (130.7 examples/sec; 0.490 sec/batch)
